Fig.12(a),simulation,,,,,,theory,,,,,,,
,,,,,,,,,,,,,,
,,20°,,40°,,60°,,20°,,40°,,60°,,
,t,s,t,s,t,s,t,s,t,s,t,s,,
,0.1792,0.00469333333333333,0.1792,0.00424,0.1792,0.00328,0.00937499999999998,0.000601093981512736,0.01328125,0.000687307366659422,0.0196875,0.000679225829650255,,
,0.1824,0.00474666666666667,0.1824,0.00429333333333333,0.1824,0.00332,0.01171875,0.000720300839074398,0.01558321942103,0.000781046990294595,0.0240625,0.000797819519700966,,
,0.1856,0.0048,0.1856,0.00434666666666667,0.1856,0.00336,0.0140625,0.000832610042725754,0.0189640844308819,0.000911182195810508,0.0284375,0.000910019975928746,,
,0.1888,0.00485333333333333,0.1888,0.00438666666666667,0.1888,0.0034,0.01640625,0.000939379596214515,0.0223449494407338,0.00103397215315713,0.0328125,0.00101678721796222,,
,0.192,0.00490666666666667,0.192,0.00444,0.192,0.00344,0.01875,0.00104143808128271,0.0257258144505856,0.00115073232064853,0.0371875,0.00111878481440598,,
,0.1952,0.00496,0.1952,0.00448,0.1952,0.00348,0.02109375,0.00113924293041756,0.0291066794604375,0.00126230532943083,0.0415625,0.00121636073925984,,
,0.1984,0.00501333333333333,0.1984,0.00453333333333333,0.1984,0.00352,0.0234375,0.00123299378645479,0.0324875444702894,0.00136923988372077,0.0490886544826695,0.00137535307896843,,
,0.2016,0.00506666666666667,0.2016,0.00457333333333333,0.2016,0.00354666666666667,0.02578125,0.00132293296393699,0.0358684094801413,0.00147191906111642,0.0566148089653391,0.00152533861602482,,
,0.2048,0.00510666666666667,0.2048,0.00462666666666667,0.2048,0.00358666666666667,0.029252363883436,0.0014505939287813,0.0392492744899932,0.00157074578194727,0.0651401245639058,0.00168625541657371,,
,0.208,0.00516,0.208,0.00466666666666667,0.208,0.00362666666666667,0.032723477766872,0.00157329688715049,0.0460110045096969,0.00175892051215951,0.0736654401624724,0.00183921248787514,,
,0.2112,0.00521333333333333,0.2112,0.00470666666666667,0.2144,0.00369333333333333,0.0361945916503081,0.0016917035737909,0.0527727345294007,0.00193716575720974,0.0821907557610391,0.00198535249581562,,
,0.2144,0.00526666666666667,0.2144,0.00476,0.2176,0.00373333333333333,0.0396657055337441,0.00180606636973715,0.0595344645491045,0.00210689272416469,0.0907160713596058,0.00212550815553759,,
,0.2176,0.00530666666666667,0.2176,0.0048,0.224,0.0038,0.0431368194171801,0.00191642166363182,0.0662961945688082,0.00226902950157424,0.0992413869581725,0.00226034982821486,,
,0.2208,0.00536,0.2208,0.00484,0.2272,0.00384,0.0500790471840522,0.00212617341070706,0.073057924588512,0.00242425778853537,0.116292018155306,0.0025163637512177,,
,0.224,0.0054,0.224,0.00489333333333333,0.2336,0.00390666666666667,0.0570212749509242,0.00232409770000867,0.0798196546082158,0.00257316576614238,0.133342649352439,0.00275698875575177,,
,0.2272,0.00545333333333333,0.2272,0.00493333333333333,0.24,0.00397333333333333,0.0632692799411091,0.00249331966128481,0.0933431146476233,0.00285498847045777,0.150393280549572,0.00298464823546548,,
,0.2304,0.00550666666666667,0.2304,0.00497333333333333,0.2464,0.00404,0.0695172849312939,0.00265540095096979,0.106866574687031,0.00312032181114144,0.167443911746706,0.0032011816162961,,
,0.2336,0.00554666666666667,0.2336,0.00502666666666667,0.2528,0.00410666666666667,0.0757652899214788,0.00281143318369691,0.120390034726438,0.00337284420950443,0.184494542943839,0.00340819817335576,,
,0.2368,0.0056,0.2368,0.00506666666666667,0.2592,0.00417333333333333,0.0820132949116636,0.00296191326823497,0.133913494765846,0.00361352512882505,0.201545174140973,0.00360708037482422,,
