case,radius,eps_solid,indicator,near_count,grad_mean,grad_std,grad_max,grad_p99,normal_alignment_min,normal_alignment_mean,normal_jump_mean,normal_jump_max,normal_jump_p99
sphere,20.0,0.8,diffuse,20256,0.23045892133119047,0.10886129830964758,0.40631032613575474,0.39890492541128736,0.9947759269578667,0.9991522868007954,0.04879066926729994,0.12237681233755324,0.11078752748224187
sphere,20.0,0.8,sharp,20256,0.2713890640495951,0.3369744313497377,0.8660254037844386,0.8660254037844386,0.6439963153212234,0.9112255459700238,0.4110276359711067,1.1547005383792517,0.9194016867619662
plane,20.0,1.0,diffuse,36864,0.216160069998046,0.06519980393269727,0.28135987393074324,0.28135987393074324,1.0,1.0,0.0,0.0,0.0
plane,20.0,1.0,sharp,36864,0.25,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0
cylinder_z,20.0,1.0,diffuse,48768,0.21499718447328311,0.07502082777413903,0.3249178348605496,0.3249178348605496,0.9989259144976186,0.9997940237058439,0.023694361465986802,0.07000481892238257,0.06987455598903779
cylinder_z,20.0,1.0,sharp,48768,0.2619169761203984,0.29812717517961457,0.7071067811865476,0.7071067811865476,0.7970921481540103,0.9466635590754824,0.16433470184477372,0.7653668647301795,0.7653668647301795
sphere,20.0,1.0,diffuse,20256,0.21643157107342553,0.07838031303249988,0.33454433183215343,0.3302973313914804,0.9982928532345129,0.9997324074000383,0.04303668021090407,0.07893606177132179,0.072227627309669
sphere,20.0,1.0,sharp,20256,0.2713890640495951,0.3369744313497377,0.8660254037844386,0.8660254037844386,0.6439963153212234,0.9112255459700238,0.4110276359711067,1.1547005383792517,0.9194016867619662
plane,20.0,1.2,diffuse,36864,0.2010667608326949,0.047620283794436155,0.24868704462713107,0.24868704462713107,1.0,1.0,2.0163458125945665e-18,5.116091581210771e-16,0.0
plane,20.0,1.2,sharp,36864,0.25,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0
cylinder_z,20.0,1.2,diffuse,48768,0.20022674010765976,0.05501061301509157,0.2774619859307718,0.2774619859307718,0.9996286909518659,0.9999175073116047,0.02181439292293243,0.061781314572857036,0.06110056017312351
cylinder_z,20.0,1.2,sharp,48768,0.2619169761203984,0.29812717517961457,0.7071067811865476,0.7071067811865476,0.7970921481540103,0.9466635590754824,0.16433470184477372,0.7653668647301795,0.7653668647301795
sphere,20.0,1.2,diffuse,20256,0.2014976799584939,0.05711727133374472,0.2833326851295408,0.28071507051693084,0.9994314704100651,0.999894852218199,0.04094693847593418,0.06177488082513486,0.060168467624323964
sphere,20.0,1.2,sharp,20256,0.2713890640495951,0.3369744313497377,0.8660254037844386,0.8660254037844386,0.6439963153212234,0.9112255459700238,0.4110276359711067,1.1547005383792517,0.9194016867619662
plane,20.0,1.25,diffuse,36864,0.1973356642755818,0.04412278118546393,0.24145844546104572,0.24145844546104572,1.0,1.0,5.388617075862786e-18,1.3499051986992533e-15,2.2989939790784164e-16
plane,20.0,1.25,sharp,36864,0.25,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0
cylinder_z,20.0,1.25,diffuse,48768,0.1965589920873894,0.05101896596641368,0.2675533925571682,0.2675533925571682,0.9996827195270285,0.9999319533395444,0.021564915203164264,0.06057736013153256,0.05973044989203895
cylinder_z,20.0,1.25,sharp,48768,0.2619169761203984,0.29812717517961457,0.7071067811865476,0.7071067811865476,0.7970921481540103,0.9466635590754824,0.16433470184477372,0.7653668647301795,0.7653668647301795
sphere,20.0,1.25,diffuse,20256,0.19778228065274328,0.05290080588903452,0.27279559521953334,0.270453506543053,0.9995669066633257,0.999913674999881,0.04070151084543169,0.0605642843026851,0.058816616567396465
sphere,20.0,1.25,sharp,20256,0.2713890640495951,0.3369744313497377,0.8660254037844386,0.8660254037844386,0.6439963153212234,0.9112255459700238,0.4110276359711067,1.1547005383792517,0.9194016867619662
plane,20.0,1.5,diffuse,36864,0.17948012193078394,0.030592786176053932,0.21007290810683787,0.21007290810683787,1.0,1.0,3.4349586064414095e-18,7.474035908929603e-16,1.0859290593693269e-16
plane,20.0,1.5,sharp,36864,0.25,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0
cylinder_z,20.0,1.5,diffuse,48768,0.17894099690073714,0.035538084093269105,0.22662093287341697,0.22662093287341697,0.9998441976546868,0.9999685637961185,0.02103514317854628,0.05656097826109243,0.05648063676365773
cylinder_z,20.0,1.5,sharp,48768,0.2619169761203984,0.29812717517961457,0.7071067811865476,0.7071067811865476,0.7970921481540103,0.9466635590754824,0.16433470184477372,0.7653668647301795,0.7653668647301795
sphere,20.0,1.5,diffuse,20256,0.17992355287593415,0.03663660881202506,0.22975317162735734,0.2283425618940072,0.9998072028455536,0.9999609758619774,0.04020874478626237,0.05655242492872882,0.05577723248083015
sphere,20.0,1.5,sharp,20256,0.2713890640495951,0.3369744313497377,0.8660254037844386,0.8660254037844386,0.6439963153212234,0.9112255459700238,0.4110276359711067,1.1547005383792517,0.9194016867619662
plane,24.0,0.8,diffuse,36864,0.23055366545218525,0.09031581803561478,0.32086948348780003,0.32086948348780003,1.0,1.0,2.1688327059907206e-18,4.893243326280583e-16,0.0
plane,24.0,0.8,sharp,36864,0.25,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0
cylinder_z,24.0,0.8,diffuse,57600,0.23159143370926896,0.10213605503516243,0.3910839466475493,0.3910839466475493,0.9964773431804954,0.9993534896452373,0.02547526682698121,0.10653803356462942,0.09242764496502204
cylinder_z,24.0,0.8,sharp,57600,0.2633739776960659,0.30105505787571846,0.7071067811865476,0.7071067811865476,0.8274757743917582,0.9529893677060733,0.14070898928901732,0.7653668647301795,0.7653668647301795
sphere,24.0,0.8,diffuse,29104,0.230803199384025,0.10877952212464977,0.4068292750031728,0.3997418508059734,0.9950941651840407,0.9991737691082646,0.04348910222391014,0.11781413509835097,0.10663077324838902
