case,radius,eps_solid,theta_deg,ghost_count,raw_min,raw_max,raw_mean,clamped_min,clamped_max,clamped_mean,clamp_fraction,max_clamp_excess,mean_clamp_excess,bounded
plane,16.0,1.2,60.0,18432,1.990430401641098e-15,0.9999999999999968,0.47193375672975235,1.990430401641098e-15,0.9999999999999968,0.47193375672975235,0.0,0.0,0.0,True
plane,16.0,1.2,90.0,18432,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,0.0,0.0,0.0,True
plane,16.0,1.2,120.0,18432,5.3814810353426944e-18,0.9999999999995584,0.44306624327027877,5.3814810353426944e-18,0.9999999999995584,0.44306624327027877,0.0,0.0,0.0,True
cylinder_z,16.0,1.2,60.0,13440,1.8580028207652e-15,0.9999999999999969,0.4721356872131951,1.8580028207652e-15,0.9999999999999969,0.4721356872131951,0.0,0.0,0.0,True
cylinder_z,16.0,1.2,90.0,13440,1.1657341758564144e-15,0.9999999999997438,0.4577019248531765,1.1657341758564144e-15,0.9999999999997438,0.4577019248531765,0.0,0.0,0.0,True
cylinder_z,16.0,1.2,120.0,13440,-2.4824838803443348e-17,0.9999999999995666,0.44326816249315804,0.0,0.9999999999995666,0.44326816249315804,0.0,2.4824838803443348e-17,6.614929912953133e-20,True
sphere,16.0,1.2,60.0,5144,1.181769474351508e-06,0.9998198551438904,0.42059327639088634,1.181769474351508e-06,0.9998198551438904,0.42059327639088634,0.0,0.0,0.0,True
sphere,16.0,1.2,90.0,5144,1.0737222366774546e-06,0.9997529959910886,0.3810031621574007,1.0737222366774546e-06,0.9997529959910886,0.3810031621574007,0.0,0.0,0.0,True
sphere,16.0,1.2,120.0,5144,7.362997895230881e-07,0.9997419666660288,0.3414130479239152,7.362997895230881e-07,0.9997419666660288,0.3414130479239152,0.0,0.0,0.0,True
plane,16.0,1.25,60.0,18432,2.0224797797474905e-15,1.0002024035643367,0.4725351632601582,2.0224797797474905e-15,1.0,0.47252881816477177,0.3854166666666667,0.00020240356433665063,6.345095386386483e-06,True
plane,16.0,1.25,90.0,18432,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,0.0,0.0,0.0,True
plane,16.0,1.25,120.0,18432,-0.00020577545689597597,0.9999999999995508,0.4424648367398731,0.0,0.9999999999995508,0.4424710040977657,0.390625,0.00020577545689597597,6.16735789259276e-06,True
cylinder_z,16.0,1.25,60.0,13440,1.8868469682948054e-15,1.0002034501610937,0.47273709313825396,1.8868469682948054e-15,1.0,0.4727307786706176,0.3854166666666667,0.00020345016109368785,6.314467636492878e-06,True
cylinder_z,16.0,1.25,90.0,13440,1.1657341758564144e-15,0.9999999999997438,0.4577019248531765,1.1657341758564144e-15,0.9999999999997438,0.4577019248531765,0.0,0.0,0.0,True
cylinder_z,16.0,1.25,120.0,13440,-0.00020573218336618349,0.9999999999995592,0.44266675656809906,0.0,0.9999999999995592,0.4426728839525994,0.38839285714285715,0.00020573218336618349,6.127384500216042e-06,True
sphere,16.0,1.25,60.0,5144,1.1837509893027493e-06,0.9998237843286722,0.42224223838001124,1.1837509893027493e-06,0.9998237843286722,0.42224223838001124,0.0,0.0,0.0,True
sphere,16.0,1.25,90.0,5144,1.0737222366774546e-06,0.9997529959910886,0.3810031621574007,1.0737222366774546e-06,0.9997529959910886,0.3810031621574007,0.0,0.0,0.0,True
