case,radius,near_band,ghost_band,eps_solid,diffuse_grad_std,sharp_grad_std,diffuse_grad_max,sharp_grad_max,grad_std_improvement,grad_max_improvement,diffuse_jump_p99,sharp_jump_p99,jump_p99_improvement,diffuse_alignment_min,max_ghost_clamp_fraction,max_ghost_clamp_excess,all_shadow_ghost_bounded,b1_pass
cylinder_z,12.0,2.0,1.5,1.25,0.04981092991319667,0.30275216680157013,0.2681177749502826,0.7071067811865476,6.078026797113869,2.6372991545139715,0.09643823541410333,0.7653668647301795,7.936342483286983,0.9997039880775984,0.3872767857142857,0.0002057490760213644,True,True
sphere,12.0,2.0,1.5,1.25,0.05269809452511821,0.33475632725743576,0.2719894267752596,0.8660254037844386,6.352342153431683,3.1840406961849332,0.09691898685151437,0.9194016867619662,9.486290732388113,0.9995649343505607,0.005449591280653951,2.6284189946287548e-05,True,True
plane,12.0,2.0,1.5,1.5,0.030592786176053932,0.25,0.21007290810683787,0.5,8.171861123119408,2.3801260453142885,1.0859290593693269e-16,0.0,0.0,1.0,0.4479166666666667,0.008362571581525965,True,True
cylinder_z,12.0,2.0,1.5,1.5,0.034595461008840464,0.30275216680157013,0.22689929289411928,0.7071067811865476,8.751210649402978,3.1163904134179616,0.09675243703961167,0.7653668647301795,7.910569368054559,0.9998693634099296,0.4479166666666667,0.00835447058195353,True,True
sphere,12.0,2.0,1.5,1.5,0.03646390341415777,0.33475632725743576,0.22917420493043905,0.8660254037844386,9.180485244688876,3.778895639879288,0.09736696240055019,0.9194016867619662,9.442645267906304,0.9998147253817334,0.3419618528610354,0.008116942932687984,True,True
plane,16.0,2.0,1.5,0.8,0.09031581803561478,0.25,0.32086948348780003,0.5,2.7680643926783235,1.558265979566146,0.0,0.0,0.0,1.0,0.0,0.0,True,True
cylinder_z,16.0,2.0,1.5,0.8,0.10291943332917608,0.2998527969563554,0.3850617537593455,0.7071067811865476,2.913471122575174,1.8363464412736057,0.10918246947638227,0.7653668647301795,7.009979426191118,0.9966428173244796,0.0,0.0,True,True
sphere,16.0,2.0,1.5,0.8,0.10852534712659825,0.3379701822689467,0.4054750512535049,0.8660254037844386,3.114205033361412,2.1358290753208276,0.11491098139430798,0.9194016867619662,8.000990641678637,0.9947158330838576,0.0,0.0,True,True
plane,16.0,2.0,1.5,1.0,0.06519980393269727,0.25,0.28135987393074324,0.5,3.834367358804689,1.7770835372320186,0.0,0.0,0.0,1.0,0.0,0.0,True,True
cylinder_z,16.0,2.0,1.5,1.0,0.07447199580208187,0.2998527969563554,0.32239352312611463,0.7071067811865476,4.026383256241039,2.193303309353209,0.08125994435785636,0.7653668647301795,9.41874709339722,0.9989900534805234,0.0,0.0,True,True
sphere,16.0,2.0,1.5,1.0,0.07804308913435203,0.3379701822689467,0.33401234615229525,0.8660254037844386,4.3305587466832245,2.592794589064586,0.0809683284177084,0.9194016867619662,11.355078025309535,0.9982040431262272,0.0,0.0,True,True
plane,16.0,2.0,1.5,1.2,0.047620283794436155,0.25,0.24868704462713107,0.5,5.249863715201324,2.010559097478017,0.0,0.0,0.0,1.0,0.0,0.0,True,True
cylinder_z,16.0,2.0,1.5,1.2,0.05446090816467252,0.2998527969563554,0.2758444036738771,0.7071067811865476,5.5058354159224745,2.563426235112385,0.07422714966473648,0.7653668647301795,10.311144482674198,0.9996371339251398,0.0,2.4824838803443348e-17,True,True
sphere,16.0,2.0,1.5,1.2,0.056806065781078476,0.3379701822689467,0.2829674113759986,0.8660254037844386,5.949543902079576,3.0605128681538876,0.07352119383193136,0.9194016867619662,12.505260576476878,0.9993807700572221,0.0,0.0,True,True
plane,16.0,2.0,1.5,1.25,0.04412278118546393,0.25,0.24145844546104572,0.5,5.6660072933562375,2.070749685500914,2.2989939790784164e-16,0.0,0.0,1.0,0.390625,0.00020577545689597597,True,True
cylinder_z,16.0,2.0,1.5,1.25,0.05047605229879849,0.2998527969563554,0.26609434918070146,0.7071067811865476,5.940496201670925,2.6573536167292295,0.07275989638384439,0.7653668647301795,10.519075792693426,0.9996897109723553,0.38839285714285715,0.00020573218336618349,True,True
sphere,16.0,2.0,1.5,1.25,0.05259836710426496,0.3379701822689467,0.27245962146325414,0.8660254037844386,6.425488106864486,3.178545867212977,0.07245360805932995,0.9194016867619662,12.689522459793825,0.9995240321087411,0.05754276827371695,0.00010034014590556105,True,True
plane,16.0,2.0,1.5,1.5,0.030592786176053932,0.25,0.21007290810683787,0.5,8.171861123119408,2.3801260453142885,1.0859290593693269e-16,0.0,0.0,1.0,0.4479166666666667,0.008362571581525965,True,True
cylinder_z,16.0,2.0,1.5,1.5,0.03505287791891365,0.2998527969563554,0.22571088176394483,0.7071067811865476,8.554298955138357,3.1327988073081072,0.07009660340103499,0.7653668647301795,10.918743956128388,0.9998475364472525,0.4479166666666667,0.008349046958188125,True,True
sphere,16.0,2.0,1.5,1.5,0.03638261339118671,0.3379701822689467,0.2295201975022087,0.8660254037844386,9.289332204783737,3.7731991049550433,0.07028413517131145,0.9194016867619662,13.081212204162501,0.9998046766549827,0.3273716951788491,0.008176071839693558,True,True
plane,20.0,2.0,1.5,0.8,0.09031581803561478,0.25,0.32086948348780003,0.5,2.7680643926783235,1.558265979566146,0.0,0.0,0.0,1.0,0.0,0.0,True,True
cylinder_z,20.0,2.0,1.5,0.8,0.10340433638557864,0.29812717517961457,0.38921257221328703,0.7071067811865476,2.8831206272427963,1.8167624369519484,0.0996069850570882,0.7653668647301795,7.683867394355137,0.9965736300882444,0.0,0.0,True,True
