cap,cap_hit_count,cap_hit_fraction,cap_hit_high_rho_fraction,cap_hit_low_rho_fraction,case,failures,max_delta_g_minus_mf,max_delta_g_minus_mf_rel,max_post_cap_grad_phi,max_post_minus_pre_grad_phi,max_pre_cap_grad_phi,max_replay_force_over_rho,max_replay_grad_phi,max_replay_minus_post_grad_phi,max_replay_minus_pre_grad_phi,missing_fields,mode,nonfinite_total,path,phase_from_h_max,phase_from_h_min,phase_from_h_oob_count,step
20.0,0,0.0,0.0,1.0,wall_60to30_10,[],1.3820696934712351e-15,5.273264056140192e-05,0.391020202958154,0.0,0.391020202958154,1.238490397305455,0.391020202958154,0.0,0.0,[],1,0,/mnt/usb1t/RUNS/runs/stage14_B37_grad_phi_cap_retry2_20260628/M1_shadow_cap20/wall_60to30_10/output/case_VTK_P00_00000011.vti,1.0000186411159044,-8.28255111948363e-06,0,11
20.0,0,0.0,0.0,1.0,wall_60to30_10,[],6.638707071835526e-15,5.5942595760542066e-06,0.39111666082999613,0.0,0.39111666082999613,3.093795948795552,0.39111666082999613,0.0,0.0,[],1,0,/mnt/usb1t/RUNS/runs/stage14_B37_grad_phi_cap_retry2_20260628/M1_shadow_cap20/wall_60to30_10/output/case_VTK_P00_00000012.vti,1.0000221662212432,-9.384285301905344e-06,0,12
20.0,0,0.0,0.0,1.0,wall_60to30_10,[],5.5225366285167547e-14,1.8592980581327575e-06,0.39117372929452643,0.0,0.39117372929452643,10.143017141162664,0.39117372929452643,0.0,0.0,[],1,0,/mnt/usb1t/RUNS/runs/stage14_B37_grad_phi_cap_retry2_20260628/M1_shadow_cap20/wall_60to30_10/output/case_VTK_P00_00000013.vti,1.0000252959638285,-1.0231344966537462e-05,0,13
20.0,0,0.0,0.0,1.0,wall_60to30_10,[],2.558663338224309e-12,6.792031856464292e-06,0.3912006491860173,0.0,0.3912006491860173,78.57941517022036,0.3912006491860173,0.0,0.0,[],1,0,/mnt/usb1t/RUNS/runs/stage14_B37_grad_phi_cap_retry2_20260628/M1_shadow_cap20/wall_60to30_10/output/case_VTK_P00_00000014.vti,1.0000284997704787,-1.0501835820496885e-05,0,14
20.0,0,0.0,0.0,1.0,wall_60to30_10,[],0.0002770565460296916,0.00013908138603167138,0.3912051178198273,0.0,0.3912051178198273,885434.9865443383,0.3912051178198273,0.0,0.0,[],1,0,/mnt/usb1t/RUNS/runs/stage14_B37_grad_phi_cap_retry2_20260628/M1_shadow_cap20/wall_60to30_10/output/case_VTK_P00_00000015.vti,1.0000315645416629,-1.1113046115063035e-05,0,15
20.0,0,0.0,0.0,1.0,wall_60to30_10,['momentum_delta_g_not_mf'],5.510827311363018e+23,12433.142589373621,0.39118547710355484,0.0,0.39118547710355484,4.432368785083363e+19,0.39118547710355484,0.0,0.0,[],1,0,/mnt/usb1t/RUNS/runs/stage14_B37_grad_phi_cap_retry2_20260628/M1_shadow_cap20/wall_60to30_10/output/case_VTK_P00_00000016.vti,1.000034395209103,-1.0689563745069088e-05,0,16
20.0,0,0.0,0.0,1.0,wall_60to30_10,['momentum_delta_g_not_mf'],2.3376369599308053e+135,8.241791077091001e+59,0.3911608749128256,0.0,0.3911608749128256,2.8363215447534535e+75,0.3911608749128256,0.0,0.0,[],1,0,/mnt/usb1t/RUNS/runs/stage14_B37_grad_phi_cap_retry2_20260628/M1_shadow_cap20/wall_60to30_10/output/case_VTK_P00_00000017.vti,1.000036968655651,-1.0978382635821249e-05,0,17
20.0,0,0.0,0.0,1.0,wall_60to30_10,"['nonfinite_fields', 'momentum_delta_g_not_mf']",6.700860045765766e+153,8.806725334897368e+68,0.3911344182640109,0.0,0.3911344182640109,1.2228699122231137e+152,0.3911344182640109,0.0,0.0,[],1,75840,/mnt/usb1t/RUNS/runs/stage14_B37_grad_phi_cap_retry2_20260628/M1_shadow_cap20/wall_60to30_10/output/case_VTK_P00_00000018.vti,1.0000392254981596,-1.0356695523698996e-05,0,18
20.0,0,0.0,0.0,1.0,wall_60to30_10,"['nonfinite_fields', 'momentum_delta_g_not_mf']",1.245186084214915e+154,1.1541466398405606e+69,0.39068765474370754,0.0,0.39068765474370754,8.30323997999189e+153,0.39068765474370754,0.0,0.0,[],1,686640,/mnt/usb1t/RUNS/runs/stage14_B37_grad_phi_cap_retry2_20260628/M1_shadow_cap20/wall_60to30_10/output/case_VTK_P00_00000019.vti,1.0000424736440097,-1.0621251309867578e-05,0,19
20.0,0,0.0,0.0,1.0,wall_60to30_10,"['nonfinite_fields', 'momentum_delta_g_not_mf']",5.283864981483199e+152,3.6865180792680986e+68,0.4776384792059714,0.0,0.4776384792059714,9.281471742419461e+152,0.4776384792059714,0.0,0.0,[],1,1151148,/mnt/usb1t/RUNS/runs/stage14_B37_grad_phi_cap_retry2_20260628/M1_shadow_cap20/wall_60to30_10/output/case_VTK_P00_00000020.vti,1.00004580096812,-1.0355852309329313e-05,0,20
