step,field,low_rho,near_interface_wall,fluid_all
13,B20PhaseFromHBoundedShadow,0.020429167924516354,0.9894731259433991,1.0000221338821247
13,B20FphiActiveMaxAbs,0.0018927390479102505,0.021479699248892717,0.024413564770582298
13,B20FphiRawPostForceMaxAbs,0.0018927390479102505,0.021479699248892717,0.024413564770582298
13,B20FphiPreForceMaxAbs,0.0018927390479102505,0.021479699248892717,0.024413564770582298
13,B20FphiBoundedMaxAbs,0.0018927390479102505,0.021479699248892717,0.024413564770582298
14,ReplayPhaseFromH,147918273771.5828,0.9894433890411587,276749289103.349
14,ReplayHPostMaxAbs,18565430466.001247,0.2931749533912254,222562803320.13647
14,ReplayHeqMaxAbs,25991602652.548466,0.2931754314344629,311587924649.08453
14,ReplayFphiMaxAbs,0.13424018475919525,0.02153059848877381,0.7413743653742989
14,ForceOverRhoNorm,1099146.582163713,1.2956090363909643,1099146.582163713
14,B18HVelocityRawPostForceNorm,553546.5103020291,0.7952226771075293,553546.5103020291
14,B18HVelocityPreForceNorm,253312.37527574954,0.28376349541988694,501169.4257986395
14,B18HVelocityBoundedShadowNorm,0.2000000000000001,0.20000000000000007,0.2000000000000001
14,B20HeqActiveMaxAbs,25991602652.548466,0.2931754314344629,311587924649.08453
14,B20HeqRawPostForceMaxAbs,23790104635.342117,0.2931754314345418,311907855122.38464
14,B20HeqPreForceMaxAbs,25991602652.548466,0.2931754314344629,311587924649.08453
14,B20HeqBoundedMaxAbs,0.5536206000167057,0.2931754314345418,0.7774063357665257
14,B20HPostActiveMaxAbs,18565430466.001247,0.2931749533912254,222562803320.13647
14,B20HPostRawPostForceMaxAbs,16992931882.282427,0.29317495339128175,222791325086.77942
14,B20HPostPreForceMaxAbs,18565430466.001247,0.2931749533912254,222562803320.13647
14,B20HPostBoundedMaxAbs,0.4411147257743747,0.29317495339128175,1.1934919722090145
14,B20PhaseFromHActiveShadow,1.9877476692199707,0.9894670811197892,2.791431427001953
14,B20PhaseFromHRawPostForceShadow,1.9877399802207947,0.9894670811197886,2.7914276123046875
14,B20PhaseFromHPreForceShadow,1.9877476692199707,0.9894670811197892,2.791431427001953
14,B20PhaseFromHBoundedShadow,1.987733537294023,0.9894670811197886,2.791219556608537
14,B20FphiActiveMaxAbs,0.13424018475919525,0.02153059848877381,0.7413743653742989
14,B20FphiRawPostForceMaxAbs,0.13424018475919525,0.02153059848877381,0.7413743653742989
14,B20FphiPreForceMaxAbs,0.13424018475919525,0.02153059848877381,0.7413743653742989
14,B20FphiBoundedMaxAbs,0.13424018475919525,0.02153059848877381,0.7413743653742989
