step,group,bin,active_count,limiter_count,limiter_fraction,raw_delta_p95,raw_delta_p99,limiter_ratio_p50
400,c_x_tangent:c_0p90_0p95,t_0p025_0p05,16,0,0.0,0.23276417504771987,0.2327641750477207,1.0
400,c_x_tangent:c_0p90_0p95,t_0p05_0p10,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0p90_0p95,t_0p10_inf,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0p95_1,t_0_0p005,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0p95_1,t_0p005_0p01,4,0,0.0,0.043607793446970716,0.04360779344697076,1.0
400,c_x_tangent:c_0p95_1,t_0p01_0p025,8,0,0.0,0.10311219302217801,0.10311219302217833,1.0
400,c_x_tangent:c_0p95_1,t_0p025_0p05,4,0,0.0,0.14923131649231425,0.1492313164923143,1.0
400,c_x_tangent:c_0p95_1,t_0p05_0p10,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0p95_1,t_0p10_inf,0,0,nan,nan,nan,nan
500,region,none_or_unknown,0,0,nan,nan,nan,nan
500,region,sphere_upper,860,404,0.4697674418604651,0.618096398550009,0.66080785750581,1.0
500,region,sphere_lower90,0,0,nan,nan,nan,nan
500,region,sphere_bottom120,0,0,nan,nan,nan,nan
500,region,outer_or_other_wall,0,0,nan,nan,nan,nan
500,theta_zone,sphere11,860,404,0.4697674418604651,0.618096398550009,0.66080785750581,1.0
500,theta_zone,outer90,0,0,nan,nan,nan,nan
500,theta_zone,fallback,0,0,nan,nan,nan,nan
500,c_bin,c_0_0p05,204,0,0.0,0.08481819402031245,0.096592461450914,1.0
500,c_bin,c_0p05_0p10,164,0,0.0,0.18350384629940722,0.1940643485163985,1.0
500,c_bin,c_0p10_0p30,212,152,0.7169811320754716,0.4118459251763307,0.4203275498824792,0.8308449939947605
500,c_bin,c_0p30_0p70,152,152,1.0,0.6634670446166361,0.6667171866756281,0.44974550310517597
500,c_bin,c_0p70_0p90,92,92,1.0,0.5217598446438121,0.5217598574212382,0.6320165215351121
500,c_bin,c_0p90_0p95,24,8,0.3333333333333333,0.27103853976330516,0.2710385399631359,1.0
500,c_bin,c_0p95_1,12,0,0.0,0.13033072403878798,0.1303307240387887,1.0
500,tangent_bin,t_0_0p005,0,0,nan,nan,nan,nan
500,tangent_bin,t_0p005_0p01,40,0,0.0,0.03705156222828874,0.0370515773129508,1.0
500,tangent_bin,t_0p01_0p025,232,0,0.0,0.09906557820390618,0.10350500552974191,1.0
500,tangent_bin,t_0p025_0p05,168,0,0.0,0.1940643496229417,0.20762375940462177,1.0
500,tangent_bin,t_0p05_0p10,292,276,0.9452054794520548,0.41184591621086336,0.42032754988247595,0.7166935954532473
500,tangent_bin,t_0p10_inf,128,128,1.0,0.6667171621965352,0.6667171867994691,0.4399343579629617
500,normal_agreement_bin,normal_0_0p5,0,0,nan,nan,nan,nan
500,normal_agreement_bin,normal_0p5_0p9,0,0,nan,nan,nan,nan
500,normal_agreement_bin,normal_0p9_0p99,220,116,0.5272727272727272,0.6233857468836563,0.6280037904902803,0.9709808590996674
500,normal_agreement_bin,normal_0p99_1p01,640,288,0.45,0.5682665957747757,0.6667171621965352,1.0
500,c_x_tangent:c_0_0p05,t_0_0p005,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0_0p05,t_0p005_0p01,40,0,0.0,0.03705156222828874,0.0370515773129508,1.0
500,c_x_tangent:c_0_0p05,t_0p01_0p025,164,0,0.0,0.08481819425566216,0.09659247265253004,1.0
500,c_x_tangent:c_0_0p05,t_0p025_0p05,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0_0p05,t_0p05_0p10,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0_0p05,t_0p10_inf,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0p05_0p10,t_0_0p005,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0p05_0p10,t_0p005_0p01,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0p05_0p10,t_0p01_0p025,60,0,0.0,0.1035050055297419,0.1035050129010956,1.0
500,c_x_tangent:c_0p05_0p10,t_0p025_0p05,104,0,0.0,0.19406433900241313,0.1940643495702476,1.0
500,c_x_tangent:c_0p05_0p10,t_0p05_0p10,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0p05_0p10,t_0p10_inf,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0p10_0p30,t_0_0p005,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0p10_0p30,t_0p005_0p01,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0p10_0p30,t_0p01_0p025,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0p10_0p30,t_0p025_0p05,44,0,0.0,0.19309398370479716,0.1930939871482475,1.0
500,c_x_tangent:c_0p10_0p30,t_0p05_0p10,168,152,0.9047619047619048,0.41184592784358104,0.42032755020461404,0.7821669180018305
500,c_x_tangent:c_0p10_0p30,t_0p10_inf,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0p30_0p70,t_0_0p005,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0p30_0p70,t_0p005_0p01,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0p30_0p70,t_0p01_0p025,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0p30_0p70,t_0p025_0p05,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0p30_0p70,t_0p05_0p10,48,48,1.0,0.3809889731012807,0.3809889738795973,0.6754832582813566
500,c_x_tangent:c_0p30_0p70,t_0p10_inf,104,104,1.0,0.6667171715396832,0.6667171869233102,0.42380310164488855
500,c_x_tangent:c_0p70_0p90,t_0_0p005,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0p70_0p90,t_0p005_0p01,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0p70_0p90,t_0p01_0p025,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0p70_0p90,t_0p025_0p05,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0p70_0p90,t_0p05_0p10,68,68,1.0,0.4030638172480251,0.4030638199734984,0.6807905912797325
500,c_x_tangent:c_0p70_0p90,t_0p10_inf,24,24,1.0,0.5217598573899819,0.5217598574212403,0.5118966590731673
500,c_x_tangent:c_0p90_0p95,t_0_0p005,0,0,nan,nan,nan,nan
