step,group,bin,active_count,limiter_count,limiter_fraction,normal_limiter_count,normal_limiter_fraction,stage8h_limiter_equivalent_count,stage8h_limiter_equivalent_fraction,ratio_cap_selected_count,ratio_cap_selected_fraction,abs_cap_selected_count,abs_cap_selected_fraction,raw_delta_p95,raw_delta_p99,limiter_ratio_p50,cap_demand_ratio_p50,cap_demand_ratio_p95,cap_demand_ratio_p99,stage8h_candidate_demand_p50,stage8h_candidate_demand_p95,stage8h_candidate_demand_p99,normal_raw_abs_p50,normal_raw_abs_p95
0,c_bin,c_0p95_1,868,0,0.0,0,0.0,0,0.0,868,1.0,0,0.0,0.0045862299963682004,0.004922906740948748,1.0,0.06140246365066771,0.36547817967736423,0.38456350397452826,0.01434990076062508,0.08459926339837354,0.08885305199182082,0.016411549453357488,0.025097148072789566
0,tangent_bin,t_0_0p005,60,0,0.0,0,0.0,0,0.0,60,1.0,0,0.0,1.947767956381886e-06,1.947767956381886e-06,1.0,6.830354231421297e-05,0.0001947767956381886,0.0001947767956381886,1.6604156388583133e-05,4.7333109287922674e-05,4.7333109287922674e-05,0.010501676465884013,0.010721630941751603
0,tangent_bin,t_0p005_0p01,952,0,0.0,0,0.0,0,0.0,952,1.0,0,0.0,0.0018429365790093846,0.0022037058670410703,1.0,0.021396696561873225,0.18429365790093846,0.21326204105012728,0.0046616820196192215,0.04270329411962654,0.049450968753020394,0.013139095655361144,0.019846644992900564
0,tangent_bin,t_0p01_0p02,1460,0,0.0,204,0.13972602739726028,0,0.0,1460,1.0,0,0.0,0.017950513381843915,0.02159735776586263,1.0,0.5378839373536599,1.303676101257472,1.4563522806495017,0.12085587602557883,0.25607775741308414,0.2860522434452589,0.023842514113010416,0.0383225874953903
0,tangent_bin,t_0p02_0p05,2356,0,0.0,1256,0.533106960950764,0,0.0,2276,0.966044142614601,80,0.03395585738539898,0.050841770538940345,0.053347383629772836,0.7498526945433485,1.3335952611452417,1.5996356208628049,1.6192120438190434,0.2637355023622759,0.3141936321582221,0.31803651674853867,0.0586252057640998,0.09753693620185777
0,tangent_bin,t_0p05_0p10,2708,0,0.0,1932,0.7134416543574594,0,0.0,300,0.11078286558345643,2408,0.8892171344165436,0.06631551385704867,0.06676129988970278,0.8198417130190729,1.2197476465517871,1.3263102771409732,1.3352259977940555,0.2501230441264544,0.2735481494608046,0.27471076935694055,0.13478554577951907,0.15368599521798243
0,tangent_bin,t_0p10_inf,0,0,nan,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,normal_raw_abs_bin,normal_raw_abs_0_1e-4,0,0,nan,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,normal_raw_abs_bin,normal_raw_abs_1e-4_1e-3,0,0,nan,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,normal_raw_abs_bin,normal_raw_abs_1e-3_1e-2,0,0,nan,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
