case,step,mask,candidate,cell_count,force_over_rho_max,force_over_rho_p99,net_force_norm,net_over_term_sum,fmu_fraction_sum_mag,fsurf_sum_mag,fpressure_sum_mag,fbody_sum_mag,fmu_sum_mag,total_sum_mag,argmax_fsurf,argmax_fpressure,argmax_fbody,argmax_fmu,argmax_total,argmax_force_over_rho,argmax_rho_eff,note
wall_60to30_10,13,interface_wide,legacy_tenth,11708,0.0008640447112751433,0.0003270190392902082,0.014670416799212915,0.3596379132038515,0.08783789198338887,0.032622262279193966,0.004586824476537566,0.0,0.003583099664551043,0.033931582390559364,2.237988129113599e-05,4.477054552594135e-06,0.0,3.511150337166855e-05,4.804082320109058e-05,0.0008640447112751433,0.055599927381295704,diagnostic magnitude sweep
wall_60to30_10,13,interface_wide,negative_legacy,11708,0.006127174485918533,0.0009015874954974491,0.011736516708996548,0.16068597080486058,0.4905662066221184,0.032622262279193966,0.004586824476537566,0.0,0.03583099664551043,0.05436963047524657,2.237988129113599e-05,4.477054552594135e-06,0.0,0.0003511150337166855,0.00034067045646959823,0.006127174485918533,0.055599927381295704,sign check
wall_60to30_10,13,interface_wide,legacy,11708,0.0065133878047235515,0.0012144483296617201,0.03627608966956647,0.49666002529440756,0.4905662066221184,0.032622262279193966,0.004586824476537566,0.0,0.03583099664551043,0.06123127496720146,2.237988129113599e-05,4.477054552594135e-06,0.0,0.0003511150337166855,0.00036214388894884655,0.0065133878047235515,0.055599927381295704,current active scale
wall_60to30_10,13,interface_wide,no_density_diff,11708,0.006545096911577444,0.0012195886280100255,0.036396724358959985,0.49708625283527497,0.49181895259549774,0.032622262279193966,0.004586824476537566,0.0,0.036011051905035604,0.061391098503695396,2.237988129113599e-05,4.477054552594135e-06,0.0,0.00035287943087104073,0.0003639069129872486,0.006545096911577444,0.055599927381295704,remove density-difference multiplier
wall_60to30_10,13,interface_wide,bgk_style,11708,0.007704821719950198,0.0011557468790881328,0.017738092506316933,0.21632391920567928,0.5462186548977872,0.032622262279193966,0.004586824476537566,0.0,0.04478874580688803,0.062085687105092685,2.237988129113599e-05,4.477054552594135e-06,0.0,0.00043889379214585687,0.0004283875281150609,0.007704821719950198,0.055599927381295704,opposite sign of B40FmuBGKScale
wall_60to30_10,13,interface_wide,bgk_legacy_sign,11708,0.008091150698664833,0.001470809901125204,0.0422776654668867,0.5155949144704571,0.5462186548977872,0.032622262279193966,0.004586824476537566,0.0,0.04478874580688803,0.06923302806055842,2.237988129113599e-05,4.477054552594135e-06,0.0,0.00043889379214585687,0.00044986739127688465,0.008091150698664833,0.055599927381295704,B40FmuBGKScale
wall_60to30_10,13,low_rho,zero,667284,4.056507467628418,0.00083695884889421,67.98744068141708,0.9974606091807932,0.0,0.05543036108203881,68.10509653657124,0.0,0.0,68.05783691182577,8.316987861618724e-06,0.022120208231781527,0.0,0.0,0.022111891243919907,4.056507467628418,0.005450967715547514,sanity check only; not physical
wall_60to30_10,13,low_rho,legacy_hundredth,667284,30.211825382227214,0.004709780510868113,276.48921812991006,0.9465199252070805,0.7666625221135058,0.05543036108203881,68.10509653657124,0.0,223.95082835925746,282.2958273042587,8.358087817285956e-06,0.02214592340307383,0.0,0.14492372866457026,0.16631832601394006,30.211825382227214,0.005505073722284272,diagnostic magnitude sweep
wall_60to30_10,13,low_rho,legacy_tenth,667284,267.1232009232627,0.04896327441554895,2153.0052151662394,0.932978426271172,0.9704634709331736,0.05543036108203881,68.10509653657124,0.0,2239.5082835925737,2296.1612103191005,8.358087817285956e-06,0.02214592340307383,0.0,1.4492372866457026,1.470532914015115,267.1232009232627,0.005505073722284272,diagnostic magnitude sweep
wall_60to30_10,13,low_rho,negative_legacy,667284,2628.682533145044,0.491916720530825,20782.190304167078,0.9251642769699745,0.9969656863082177,0.05543036108203881,68.10509653657124,0.0,22395.082835925736,22338.4864059518,8.358087817285956e-06,0.02214592340307383,0.0,14.492372866457027,14.47109113744444,2628.682533145044,0.005505073722284272,sign check
wall_60to30_10,13,low_rho,legacy,667284,2636.4146763472304,0.4915013906475434,20918.16518552897,0.9312174937368342,0.9969656863082177,0.05543036108203881,68.10509653657124,0.0,22395.082835925736,22451.68870368488,8.358087817285956e-06,0.02214592340307383,0.0,14.492372866457027,14.513657155803733,2636.4146763472304,0.005505073722284272,current active scale
wall_60to30_10,13,low_rho,no_density_diff,667284,2649.643561480394,0.4939722903902782,21022.939948066087,0.9312164887096337,0.9969808120708603,0.05543036108203881,68.10509653657124,0.0,22507.620940628887,22564.226784683804,8.358087817285956e-06,0.02214592340307383,0.0,14.565198860760832,14.58648314372543,2649.643561480394,0.005505073722284272,remove density-difference multiplier
wall_60to30_10,13,low_rho,bgk_style,667284,3286.8195795640872,0.6148439828988403,25994.73474037904,0.9263317548720469,0.9975710750225111,0.05543036108203881,68.10509653657124,0.0,27993.853544907175,27937.25621923478,8.358087817285956e-06,0.02214592340307383,0.0,18.115466083071283,18.094184097347696,3286.8195795640872,0.005505073722284272,opposite sign of B40FmuBGKScale
wall_60to30_10,13,low_rho,bgk_legacy_sign,667284,3294.5517230121577,0.6144286530145251,26130.709621741804,0.9311772688474456,0.9975710750225111,0.05543036108203881,68.10509653657124,0.0,27993.853544907175,28050.458465616008,8.358087817285956e-06,0.02214592340307383,0.0,18.115466083071283,18.136750117060604,3294.5517230121577,0.005505073722284272,B40FmuBGKScale
