mode,step,failures,PhaseField_max_abs,PhaseField_min,PhaseField_max,PhaseField_nonfinite,ReplayPhaseFromH_max_abs,ReplayPhaseFromH_min,ReplayPhaseFromH_max,ReplayPhaseFromH_nonfinite,ReplayPhaseConsumed_max_abs,ReplayPhaseConsumed_min,ReplayPhaseConsumed_max,ReplayPhaseConsumed_nonfinite,WallGhost_max_abs,WallGhost_min,WallGhost_max,WallGhost_nonfinite,ReplayFtotal_max_abs,ReplayFtotal_min,ReplayFtotal_max,ReplayFtotal_nonfinite,ReplayForceOverRho_max_abs,ReplayForceOverRho_min,ReplayForceOverRho_max,ReplayForceOverRho_nonfinite,ReplayUPostForce_max_abs,ReplayUPostForce_min,ReplayUPostForce_max,ReplayUPostForce_nonfinite,ReplayPhaseAdvVelocity_max_abs,ReplayPhaseAdvVelocity_min,ReplayPhaseAdvVelocity_max,ReplayPhaseAdvVelocity_nonfinite,ReplayFmu_max_abs,ReplayFmu_min,ReplayFmu_max,ReplayFmu_nonfinite,ReplayFpressure_max_abs,ReplayFpressure_min,ReplayFpressure_max,ReplayFpressure_nonfinite,ReplayFsurf_max_abs,ReplayFsurf_min,ReplayFsurf_max,ReplayFsurf_nonfinite,ReplayRho_max_abs,ReplayRho_min,ReplayRho_max,ReplayRho_nonfinite,ReplayPressureMoment_max_abs,ReplayPressureMoment_min,ReplayPressureMoment_max,ReplayPressureMoment_nonfinite,ReplayMu_max_abs,ReplayMu_min,ReplayMu_max,ReplayMu_nonfinite,ReplayGradPhi_max_abs,ReplayGradPhi_min,ReplayGradPhi_max,ReplayGradPhi_nonfinite,ReplayFphiMaxAbs_max_abs,ReplayFphiMaxAbs_min,ReplayFphiMaxAbs_max,ReplayFphiMaxAbs_nonfinite,PhaseStencilGhostUseCount_max_abs,PhaseStencilGhostUseCount_min,PhaseStencilGhostUseCount_max,PhaseStencilGhostUseCount_nonfinite,PhaseStencilFallbackCount_max_abs,PhaseStencilFallbackCount_min,PhaseStencilFallbackCount_max,PhaseStencilFallbackCount_nonfinite,PhaseStencilMidpointFallbackCount_max_abs,PhaseStencilMidpointFallbackCount_min,PhaseStencilMidpointFallbackCount_max,PhaseStencilMidpointFallbackCount_nonfinite
1,3,,0.9999999661570658,-5.3891470130239845e-06,0.9999999661570658,0,0.9999999661570658,-5.3891470130239845e-06,0.9999999661570658,0,0.999999968229641,0.0,0.999999968229641,0,1.0,0.0,1.0,0,0.0003526584473768318,-0.0003526584473768318,5.4361710843133417e-05,0,0.24267257116123622,-0.24267257116123622,0.04546708100416412,0,0.12380062558159959,-0.12380062558159959,0.023312005591802718,0,0.015136104117908576,-0.006937248718795865,0.015136104117908576,0,0.00019371381077996894,-0.00019371381077996894,6.043388829654383e-05,0,0.0003610134568396233,-0.0003610134568396233,5.5555296413679876e-05,0,2.7993776719164912e-05,-1.32454402144517e-05,2.7993776719164912e-05,0,0.9999999682614114,0.0,0.9999999682614114,0,0.017152387441921303,-0.007961496234149311,0.017152387441921303,0,9.205589337186006e-05,-9.205589337186006e-05,1.588469263778321e-05,0,0.33983322264530147,-0.33983322264530147,0.2273029078847425,0,0.024415076725923864,0.0,0.024415076725923864,0,61.0,0.0,61.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1,4,,0.9999999647363015,0.0,0.9999999647363015,0,0.9999999647363015,0.0,0.9999999647363015,0,0.9999999661570658,-5.3891470130239845e-06,0.9999999661570658,0,1.0,0.0,1.0,0,0.0011805559012683616,-0.0011805559012683616,0.0001435749271039216,0,1.1805559012683593,-1.1805559012683593,0.13622942093695659,0,0.593109780736797,-0.593109780736797,0.07283999359241942,0,0.11329255541080356,-0.11329255541080356,0.017067614898513776,0,0.001576371538824601,-0.001576371538824601,6.380194443707434e-05,0,0.001188633037862381,-0.001188633037862381,0.00014471343314303395,0,2.776945565403225e-05,-1.2863601166664182e-05,2.776945565403225e-05,0,0.9999999661909087,0.0,0.9999999661909087,0,0.11052436580584551,-0.11052436580584551,0.0075514006653062205,0,9.092334133507961e-05,-9.092334133507961e-05,1.54250560691841e-05,0,0.3417412624618841,-0.3417412624618841,0.22628177305848876,0,0.024415842406810988,0.0,0.024415842406810988,0,61.0,0.0,61.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1,5,,0.9999999627031,-2.73623329562775e-07,0.9999999627031,0,0.9999999627031,-2.73623329562775e-07,0.9999999627031,0,0.9999999647363015,0.0,0.9999999647363015,0,1.0,0.0,1.0,0,0.010883612993929256,-0.010883612993929256,0.004866418710274943,0,10.88361299392892,-10.88361299392892,2.48974652148709,0,5.363150077598169,-5.363150077598169,1.3052833613033885,0,0.39067339134357204,-0.39067339134357204,0.10896476888564927,0,0.0040163494487646875,-0.0040163494487646875,0.0026513541438229794,0,0.010891690130523275,-0.010891690130523275,0.004857959088088721,0,2.748168048922101e-05,-1.2366047802823747e-05,2.748168048922101e-05,0,0.9999999647715652,0.0,0.9999999647715652,0,0.4937984274013202,-0.4937984274013202,0.10603094135612129,0,8.976753300931901e-05,-8.976753300931901e-05,1.5611671747296582e-05,0,0.34471899447407783,-0.34471899447407783,0.22570722583926164,0,0.024416037373101614,0.0,0.024416037373101614,0,61.0,0.0,61.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1,6,,0.999999957698655,-0.0018147069745314498,0.999999957698655,0,0.999999957698655,-0.0018147069745314498,0.999999957698655,0,0.9999999627031,-2.73623329562775e-07,0.9999999627031,0,1.0,-0.0009609600231055602,1.0,0,1.4570828699460319,-1.4570828699460319,0.01105880273086624,0,1457.082869945445,-1457.082869945445,9.614688594673408,0,727.9696452352149,-727.9696452352149,11.285625689735614,0,11.28562568973534,-4.388895715161089,11.28562568973534,0,0.7826654299759271,-0.7826654299759271,0.04327437277698999,0,1.457090947082626,-1.457090947082626,0.011053080611067322,0,2.727772411443967e-05,-1.2007725082756102e-05,2.727772411443967e-05,0,0.9999999627403969,0.0,0.9999999627403969,0,32.66028495949661,-32.66028495949661,10.794233216807873,0,8.893895116892988e-05,-8.893895116892988e-05,1.5600927864993633e-05,0,0.3467566437975511,-0.3467566437975511,0.22528242281693156,0,0.02441595888881068,0.0,0.02441595888881068,0,61.0,0.0,61.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,0,,0.9999999810930902,0.0,0.9999999810930902,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,1,,0.9999999717996106,0.0,0.9999999717996106,0,0.9999999717996106,0.0,0.9999999717996106,0,0.9999999810930902,0.0,0.9999999810930902,0,1.0,0.0,1.0,0,2.9033551827076453e-05,-1.5199368613878571e-05,2.9033551827076453e-05,0,0.012917448697613456,-0.0013341079257488551,0.012917448697613456,0,0.006458724348806728,-0.0006670539628744276,0.006458724348806728,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.9033551827076453e-05,-1.5199368613878571e-05,2.9033551827076453e-05,0,0.9999999811119971,0.0,0.9999999811119971,0,0.0,0.0,0.0,0,9.717740691643747e-05,-9.717740691643747e-05,1.0276979088735786e-05,0,0.33102749827388434,-0.33102749827388434,0.23185528073950343,0,0.02440638872501261,0.0,0.02440638872501261,0,61.0,0.0,61.0,0,161.0,0.0,161.0,0,0.0,0.0,0.0,0
2,2,,0.999999968229641,0.0,0.999999968229641,0,0.999999968229641,0.0,0.999999968229641,0,0.9999999717996106,0.0,0.9999999717996106,0,1.0,0.0,1.0,0,2.9918787308317394e-05,-1.3300710729891096e-05,2.9918787308317394e-05,0,0.007645881259246891,-0.007645881259246891,0.0076183446193643835,0,0.004684318262212797,-0.0038229406296234453,0.004684318262212797,0,0.004686426950477376,-0.000728169687331055,0.004686426950477376,0,1.572037147578506e-05,-1.572037147578506e-05,1.427654982250691e-06,0,3.740223375151014e-05,-3.4347995586880567e-06,3.740223375151014e-05,0,2.8529284469719283e-05,-1.4501903869214359e-05,2.8529284469719283e-05,0,0.9999999718278111,0.0,0.9999999718278111,0,0.004686426950477376,-3.252351716982543e-05,0.004686426950477376,0,9.456849443381898e-05,-9.456849443381898e-05,1.5133848871055722e-05,0,0.3316901121163855,-0.3316901121163855,0.22744274089960367,0,0.024413379610556687,0.0,0.024413379610556687,0,61.0,0.0,61.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,3,,0.9999999661570658,-5.380496668346555e-06,0.9999999661570658,0,0.9999999661570658,-5.380496668346555e-06,0.9999999661570658,0,0.999999968229641,0.0,0.999999968229641,0,1.0,0.0,1.0,0,0.0001732314910023489,-0.0001732314910023489,6.272081644816699e-05,0,0.1678538705655517,-0.1678538705655517,0.05716517618354834,0,0.08637673187238408,-0.08637673187238408,0.028044686141170942,0,0.006793766592253631,-0.006793766592253631,0.0038163488276096776,0,0.00018158650046514035,-0.00018158650046514035,6.152723087762054e-05,0,0.00028492534378909555,-0.00028492534378909555,5.338167851351642e-05,0,2.7993776719164912e-05,-1.32454402144517e-05,2.7993776719164912e-05,0,0.9999999682614114,0.0,0.9999999682614114,0,0.007239154197082494,-0.007239154197082494,0.006942258552692341,0,9.205589337186006e-05,-9.205589337186006e-05,1.588469263778321e-05,0,0.33983322264530147,-0.33983322264530147,0.2273029078847425,0,0.024415076725923864,0.0,0.024415076725923864,0,61.0,0.0,61.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,4,,0.9999999647363015,0.0,0.9999999647363015,0,0.9999999647363015,0.0,0.9999999647363015,0,0.9999999661570658,-5.380496668346555e-06,0.9999999661570658,0,1.0,0.0,1.0,0,0.0007156326239866734,-0.0002810468270706065,0.0007156326239866734,0,0.4640074298925998,-0.28104682707060646,0.4640074298925998,0,0.23498491239746266,-0.1434756629456443,0.23498491239746266,0,0.08012881497554912,-0.08012881497554912,0.018452523854060047,0,0.0007073478993753653,-0.0002891243856667641,0.0007073478993753653,0,0.0014937166420670705,-0.0014937166420670705,0.0001084297624492832,0,2.776943360997586e-05,-1.2863599582093293e-05,2.776943360997586e-05,0,0.9999999661909087,0.0,0.9999999661909087,0,0.07724028145910565,-0.07724028145910565,0.004877558224933212,0,9.092316751112564e-05,-9.092316751112564e-05,1.5425165093920945e-05,0,0.34174150237921214,-0.34174150237921214,0.22628180070783108,0,0.024415842506898034,0.0,0.024415842506898034,0,61.0,0.0,61.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,5,,0.9999999627031,-2.734431493076087e-07,0.9999999627031,0,0.9999999627031,-2.734431493076087e-07,0.9999999627031,0,0.9999999647363015,0.0,0.9999999647363015,0,1.0,0.0,1.0,0,0.0035358953853098524,-0.0008498052360902193,0.0035358953853098524,0,3.5060640622097496,-0.7622640640972481,3.5060640622097496,0,1.8058725969620044,-0.397566643835647,1.8058725969620044,0,0.1384401028008799,-0.13129582713471105,0.1384401028008799,0,0.003527751362920557,-0.0008509618006944694,0.003527751362920557,0,0.00404963198699777,-0.0007039631217615226,0.00404963198699777,0,2.748152256734817e-05,-1.2365978011056565e-05,2.748152256734817e-05,0,0.9999999647715652,0.0,0.9999999647715652,0,0.20069089250752148,-0.20069089250752148,0.0965219997485985,0,8.976672647441933e-05,-8.976672647441933e-05,1.561194428652874e-05,0,0.3447205015664978,-0.3447205015664978,0.22570774913570604,0,0.02441603794841041,0.0,0.02441603794841041,0,61.0,0.0,61.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
