step,group,bin,active_count,limiter_count,limiter_fraction,normal_limiter_count,normal_limiter_fraction,stage8h_limiter_equivalent_count,stage8h_limiter_equivalent_fraction,ratio_cap_selected_count,ratio_cap_selected_fraction,abs_cap_selected_count,abs_cap_selected_fraction,raw_delta_p95,raw_delta_p99,limiter_ratio_p50,cap_demand_ratio_p50,cap_demand_ratio_p95,cap_demand_ratio_p99,stage8h_candidate_demand_p50,stage8h_candidate_demand_p95,stage8h_candidate_demand_p99,normal_raw_abs_p50,normal_raw_abs_p95
0,c_bin,c_0p10_0p30,1004,0,0.0,388,0.38645418326693226,0,0.0,624,0.6215139442231076,380,0.3784860557768924,0.09873918871712462,0.13291471936927649,1.0,0.7969685287730832,1.9747837743424923,2.6582943873855296,1.0022805939028805e-05,2.3377110416491424e-05,2.977669917221234e-05,0.08832551513966667,0.12373960731242645
0,c_bin,c_0p30_0p70,988,0,0.0,924,0.9352226720647774,0,0.0,0,0.0,988,1.0,0.23728443762901802,0.3473466278910059,0.40665746135607067,2.459072057021466,4.74568875258036,6.9469325578201175,2.736631209767907e-05,6.127321004303259e-05,0.00013488506279183798,0.13700354327174746,0.15170551512897976
0,c_bin,c_0p70_0p90,820,0,0.0,816,0.9951219512195122,0,0.0,356,0.43414634146341463,464,0.5658536585365853,0.22907418154045972,0.27972433710446015,0.40497850660142254,2.469266846756868,4.581483630809194,5.594486742089202,2.8716930385426725e-05,7.976520177351796e-05,9.977285388044508e-05,0.07356060996965821,0.11822145728185883
0,c_bin,c_0p90_0p95,468,0,0.0,468,1.0,0,0.0,468,1.0,0,0.0,0.09880403017681391,0.1337645864922411,0.42627781398268677,2.3458879800875936,3.1482172081697026,3.278447018357779,2.7841347775990192e-05,5.6046711549277505e-05,6.142444365202994e-05,0.030737789814645755,0.044864219376176344
0,c_bin,c_0p95_1,536,0,0.0,128,0.23880597014925373,0,0.0,536,1.0,0,0.0,0.025459221987689486,0.03702297818487037,1.0,0.37840198622596727,1.5580573325320437,1.773608818250693,4.268734747259083e-06,2.0776678551959303e-05,2.883876944542577e-05,0.014364320858373074,0.02128669330616838
0,tangent_bin,t_0_0p005,200,0,0.0,0,0.0,0,0.0,200,1.0,0,0.0,0.010858076214969774,0.012008895042055462,1.0,0.0019419383374173586,0.5437770225322996,0.5793947997531717,6.784592630212173e-09,7.753843120797922e-07,8.570393272804814e-07,0.015780325680183668,0.043154979232391075
0,tangent_bin,t_0p005_0p01,736,0,0.0,8,0.010869565217391304,0,0.0,736,1.0,0,0.0,0.007485711889373299,0.04030543737377172,1.0,0.02569976258936767,0.435950341250961,1.1047116118729552,3.5449076905015497e-07,2.6847130171911114e-06,3.3861821136545664e-06,0.01850079770984046,0.034410235159131164
0,tangent_bin,t_0p01_0p02,944,0,0.0,180,0.1906779661016949,0,0.0,944,1.0,0,0.0,0.026700064894538213,0.030631675646302283,1.0,0.4863239359530196,1.6573778785541504,1.895635945610999,6.256084303354752e-06,1.9470706068908305e-05,2.1072906187494483e-05,0.027176628125057896,0.055931430451043415
0,tangent_bin,t_0p02_0p05,1484,0,0.0,872,0.5876010781671159,0,0.0,1264,0.8517520215633423,220,0.14824797843665768,0.08625428442701649,0.09881680488689418,0.8534650387201829,1.1716941580870779,2.5875917037261496,3.070718839682928,1.3902821888724423e-05,3.605799237182665e-05,5.306431832942223e-05,0.059222226328540656,0.11553842299857837
0,tangent_bin,t_0p05_0p10,1736,0,0.0,1664,0.9585253456221198,0,0.0,220,0.12672811059907835,1516,0.8732718894009217,0.1866035601849526,0.23744875950815683,0.4279504111263101,2.336719334766216,3.732071203699052,4.7489751901631365,2.654810280925416e-05,6.384912120280438e-05,8.633711871566746e-05,0.12286764059469278,0.14858426452883794
