diff_count,diff_max,diff_max_abs,diff_mean,diff_min,diff_nonfinite,diff_p95_abs,diff_std,field,offline_count,offline_max,offline_max_abs,offline_mean,offline_min,offline_nonfinite,offline_p95_abs,offline_std,present,region,step,tclb_count,tclb_max,tclb_max_abs,tclb_mean,tclb_min,tclb_nonfinite,tclb_p95_abs,tclb_std
763392,1.6666666666446577,1.6666666666446577,0.004075214246961024,-1.0,0,0.0960423382560984,0.1263356160231086,ReplayLapPhi,763392,1.0,1.6666666666446577,-0.004075214246961024,-1.6666666666446577,0,0.0960423382560984,0.1263356160231086,True,fluid,0,763392,0.0,0.0,0.0,0.0,0,0.0,0.0
38520,1.6231801865731361,1.6231801865731361,0.028063473522801977,-0.13934194037376751,0,0.16063568517791707,0.18066700344056838,ReplayLapPhi,38520,0.13934194037376751,1.6231801865731361,-0.028063473522801977,-1.6231801865731361,0,0.16063568517791707,0.18066700344056838,True,interface,0,38520,0.0,0.0,0.0,0.0,0,0.0,0.0
38400,1.6666666666446577,1.6666666666446577,0.08087034921579112,-0.1392438733489917,0,0.8333591922314694,0.2998003073718124,ReplayLapPhi,38400,0.1392438733489917,1.6666666666446577,-0.08087034921579112,-1.6666666666446577,0,0.8333591922314694,0.2998003073718124,True,near_wall,0,38400,0.0,0.0,0.0,0.0,0,0.0,0.0
2540,1.6231801865731361,1.6231801865731361,0.18197560755102538,-0.1392438733489917,0,0.9891763741682466,0.3798634836968892,ReplayLapPhi,2540,0.1392438733489917,1.6231801865731361,-0.18197560755102538,-1.6231801865731361,0,0.9891763741682466,0.3798634836968892,True,near_interface,0,2540,0.0,0.0,0.0,0.0,0,0.0,0.0
556,1.3712535617240038,1.3712535617240038,0.42338355547299583,-0.13806431795571264,0,1.0854592377550767,0.37794770159011776,ReplayLapPhi,556,0.13806431795571264,1.3712535617240038,-0.42338355547299583,-1.3712535617240038,0,1.0854592377550767,0.37794770159011776,True,contact_core,0,556,0.0,0.0,0.0,0.0,0,0.0,0.0
711768,1.6666666666446577,1.6666666666446577,0.004453324221946534,-0.13934194037376751,0,0.07532281421146944,0.07688716833202987,ReplayLapPhi,711768,0.13934194037376751,1.6666666666446577,-0.004453324221946534,-1.6666666666446577,0,0.07532281421146944,0.07688716833202987,True,fluid_tclb_fluid,0,711768,0.0,0.0,0.0,0.0,0,0.0,0.0
37600,1.6666666666446577,1.6666666666446577,0.08259099523902974,-0.1392438733489917,0,0.8334370005794515,0.3027382691479897,ReplayLapPhi,37600,0.1392438733489917,1.6666666666446577,-0.08259099523902974,-1.6666666666446577,0,0.8334370005794515,0.3027382691479897,True,near_wall_tclb_fluid,0,37600,0.0,0.0,0.0,0.0,0,0.0,0.0
2540,1.6231801865731361,1.6231801865731361,0.18197560755102538,-0.1392438733489917,0,0.9891763741682466,0.3798634836968892,ReplayLapPhi,2540,0.1392438733489917,1.6231801865731361,-0.18197560755102538,-1.6231801865731361,0,0.9891763741682466,0.3798634836968892,True,near_interface_tclb_fluid,0,2540,0.0,0.0,0.0,0.0,0,0.0,0.0
556,1.3712535617240038,1.3712535617240038,0.42338355547299583,-0.13806431795571264,0,1.0854592377550767,0.37794770159011776,ReplayLapPhi,556,0.13806431795571264,1.3712535617240038,-0.42338355547299583,-1.3712535617240038,0,1.0854592377550767,0.37794770159011776,True,contact_core_tclb_fluid,0,556,0.0,0.0,0.0,0.0,0,0.0,0.0
51624,1.0016719802314193,1.0016719802314193,-0.0011379924141943578,-1.0,0,0.9999999999999476,0.39304356207746055,ReplayLapPhi,51624,1.0,1.0016719802314193,0.0011379924141943578,-1.0016719802314193,0,0.9999999999999476,0.39304356207746055,True,offline_fluid_tclb_boundary,0,51624,0.0,0.0,0.0,0.0,0,0.0,0.0
