candidate_count,candidate_max,candidate_max_abs,candidate_mean,candidate_min,candidate_nonfinite,candidate_p95_abs,candidate_std,diff_count,diff_max,diff_max_abs,diff_mean,diff_min,diff_nonfinite,diff_p95_abs,diff_std,field,reference_count,reference_max,reference_max_abs,reference_mean,reference_min,reference_nonfinite,reference_p95_abs,reference_std,region
556,5.5454892261692396e-05,5.668966893213265e-05,3.5151142778134096e-06,-5.668966893213265e-05,0,4.966538862778906e-05,2.6255697482989908e-05,556,3.7269449679189215e-19,3.7269449679189215e-19,-5.009262967069328e-21,-3.2526065174565133e-19,0,2.176874674443552e-19,1.033059228379608e-19,current_mu_vs_periodic,556,5.5454892261692416e-05,5.6689668932132666e-05,3.5151142778134142e-06,-5.6689668932132666e-05,0,4.9665388627789034e-05,2.6255697482989915e-05,contact_core_tclb_fluid
51624,0.0,0.0,0.0,0.0,0,0.0,0.0,51624,0.00022500000000000002,0.00034687500000000007,-6.894340159860274e-07,-0.00034687500000000007,0,0.0002249999998092153,9.064258444306694e-05,current_mu_vs_periodic,51624,0.00034687500000000007,0.00034687500000000007,6.894340159860274e-07,-0.00022500000000000002,0,0.0002249999998092153,9.064258444306694e-05,offline_fluid_tclb_boundary
800,0.0,0.0,0.0,0.0,0,0.0,0.0,800,0.00016875,0.00034687500000000007,-4.271875375681647e-05,-0.00034687500000000007,0,0.00026875,0.00014019973547175335,current_mu_vs_periodic,800,0.00034687500000000007,0.00034687500000000007,4.271875375681647e-05,-0.00016875,0,0.00026875,0.00014019973547175335,cylinder_overlap_boundary
50824,0.0,0.0,0.0,0.0,0,0.0,0.0,50824,0.00022500000000000002,0.00022500000000000013,-2.7867516051658584e-08,-0.00022500000000000013,0,0.00022499999978432372,8.948611409081712e-05,current_mu_vs_periodic,50824,0.00022500000000000013,0.00022500000000000013,2.7867516051658584e-08,-0.00022500000000000002,0,0.00022499999978432372,8.948611409081712e-05,outer_boundary
884736,5.5454892261692396e-05,0.00011250001492280146,6.003550441505904e-08,-0.00011250001492280146,0,6.529521531512629e-07,2.236774017740033e-06,884736,7.00733326707288e-05,0.00011250000637516958,-7.703496032460088e-08,-0.00011250000637516958,0,7.69628583086057e-14,3.0606486677338037e-06,current_mu_vs_center_boundary,884736,0.00011250000000000001,0.00011250000000000001,1.3707046473965997e-07,-6.425126811249952e-05,0,9.010916920339513e-07,2.6456172963576188e-06,all
763392,5.5454892261692396e-05,0.00011250001492280146,6.957837131403221e-08,-0.00011250001492280146,0,1.04070142340329e-06,2.407854775074425e-06,763392,7.00733326707288e-05,0.00011250000637516958,-8.500536305447097e-08,-0.00011250000637516958,0,5.907554653794591e-15,3.0283910607791685e-06,current_mu_vs_center_boundary,763392,0.00011250000000000001,0.00011250000000000001,1.545837343685032e-07,-3.88251913311428e-05,0,1.1151689991807943e-06,2.534689939961894e-06,offline_fluid
711768,5.5454892261692396e-05,0.00011250001492280146,7.46248384784954e-08,-0.00011250001492280146,0,1.2245434298948877e-06,2.4935708435621414e-06,711768,7.00733326707288e-05,0.00011250000637516958,-4.6294680776024987e-08,-0.00011250000637516958,0,5.283712115633533e-19,2.162315770152938e-06,current_mu_vs_center_boundary,711768,4.47691348158671e-05,4.47691348158671e-05,1.2091951925452035e-07,-3.88251913311428e-05,0,1.1392076939915295e-06,1.3173115008975558e-06,tclb_fluid
38836,5.5454892261692396e-05,5.668966893213265e-05,2.0860099627850453e-06,-5.668966893213265e-05,0,9.12359261972203e-06,5.523057880986672e-06,38836,7.00733326707288e-05,0.00011250000000000001,-7.537070307929909e-07,-0.00011250000000000001,0,5.075387643645432e-06,1.0003455993363385e-05,current_mu_vs_center_boundary,38836,0.00011250000000000001,0.00011250000000000001,2.8397169935780367e-06,-3.88251913311428e-05,0,1.5128247327820904e-05,1.0803829725704974e-05,interface_offline_fluid
37484,5.5454892261692396e-05,5.668966893213265e-05,2.1612496775883053e-06,-5.668966893213265e-05,0,9.145651228597608e-06,5.607299076707865e-06,37484,7.00733326707288e-05,7.00733326707288e-05,5.796312293490882e-08,-3.879479497156812e-05,0,7.980610660148609e-07,2.7034241494391794e-06,current_mu_vs_center_boundary,37484,4.47691348158671e-05,4.47691348158671e-05,2.1032865546533965e-06,-3.88251913311428e-05,0,9.121845109272218e-06,5.282860326266592e-06,interface_tclb_fluid
2856,5.5454892261692396e-05,5.668966893213265e-05,2.3145044845589056e-06,-5.668966893213265e-05,0,3.600661668063665e-05,1.3744667668896501e-05,2856,7.00733326707288e-05,0.00011250000000000001,-9.954991391931791e-06,-0.00011250000000000001,0,9.687499998907337e-05,3.2172716719809576e-05,current_mu_vs_center_boundary,2856,0.00011250000000000001,0.00011250000000000001,1.2269495876490698e-05,-3.88251913311428e-05,0,9.687499998907337e-05,3.193467489068334e-05,near_interface
2540,5.5454892261692396e-05,5.668966893213265e-05,2.6024507117717462e-06,-5.668966893213265e-05,0,3.6812402393536636e-05,1.4548864049434439e-05,2540,7.00733326707288e-05,7.00733326707288e-05,8.242298364617842e-07,-3.879479497156812e-05,0,2.2803139457851332e-05,1.0011388238921324e-05,current_mu_vs_center_boundary,2540,4.47691348158671e-05,4.47691348158671e-05,1.7782208753099624e-06,-3.88251913311428e-05,0,2.9460636700190566e-05,1.1765396449827041e-05,near_interface_tclb_fluid
872,5.5454892261692396e-05,5.668966893213265e-05,2.241288461541577e-06,-5.668966893213265e-05,0,4.545431613045384e-05,2.1033357278785936e-05,872,7.00733326707288e-05,0.00011250000000000001,-3.378252177659165e-05,-0.00011250000000000001,0,0.000109375,4.9618965333716736e-05,current_mu_vs_center_boundary,872,0.00011250000000000001,0.00011250000000000001,3.602381023813322e-05,-3.88251913311428e-05,0,0.000109375,4.904965119241735e-05,contact_core
556,5.5454892261692396e-05,5.668966893213265e-05,3.5151142778134096e-06,-5.668966893213265e-05,0,4.966538862778906e-05,2.6255697482989908e-05,556,7.00733326707288e-05,7.00733326707288e-05,1.9184176452917525e-06,-3.879479497156812e-05,0,3.875116363864005e-05,1.6809461302023667e-05,current_mu_vs_center_boundary,556,4.47691348158671e-05,4.47691348158671e-05,1.5966966325216551e-06,-3.88251913311428e-05,0,4.146636829049604e-05,2.0999208552878993e-05,contact_core_tclb_fluid
51624,0.0,0.0,0.0,0.0,0,0.0,0.0,51624,3.30082450984612e-05,0.00011250000000000001,-6.187304696708683e-07,-0.00011250000000000001,0,5.526645560891473e-07,8.417131937054576e-06,current_mu_vs_center_boundary,51624,0.00011250000000000001,0.00011250000000000001,6.187304696708683e-07,-3.30082450984612e-05,0,5.526645560891473e-07,8.417131937054576e-06,offline_fluid_tclb_boundary
800,0.0,0.0,0.0,0.0,0,0.0,0.0,800,3.8163916471489766e-21,0.00011250000000000001,-3.8156254719092246e-05,-0.00011250000000000001,0,0.000109375,4.7673495149294595e-05,current_mu_vs_center_boundary,800,0.00011250000000000001,0.00011250000000000001,3.8156254719092246e-05,-3.8163916471489766e-21,0,0.000109375,4.7673495149294595e-05,cylinder_overlap_boundary
50824,0.0,0.0,0.0,0.0,0,0.0,0.0,50824,3.30082450984612e-05,3.344144152117299e-05,-2.7867503364849316e-08,-3.344144152117299e-05,0,2.621252071980738e-07,3.695946579805586e-06,current_mu_vs_center_boundary,50824,3.344144152117299e-05,3.344144152117299e-05,2.7867503364849316e-08,-3.30082450984612e-05,0,2.621252071980738e-07,3.695946579805586e-06,outer_boundary
884736,5.5454892261692396e-05,0.00011250001492280146,6.003550441505904e-08,-0.00011250001492280146,0,6.529521531512629e-07,2.236774017740033e-06,884736,0.00047500000000000005,0.00047500000000000005,-2.5972310215750716e-05,-0.00047500000000000005,0,0.00047500000000000005,0.00019281803051944866,current_mu_vs_midpoint_boundary,884736,0.00047500000000000005,0.00047500000000000005,2.603234572016575e-05,-0.00047500000000000005,0,0.00047500000000000005,0.0001928407680406719,all
763392,5.5454892261692396e-05,0.00011250001492280146,6.957837131403221e-08,-0.00011250001492280146,0,1.04070142340329e-06,2.407854775074425e-06,763392,0.00047187500000000007,0.00047187500000000007,2.7723914774789015e-05,-0.00036250000000000003,0,0.00036249999979338574,9.583011756266275e-05,current_mu_vs_midpoint_boundary,763392,0.00036250000000000003,0.00047187500000000007,-2.7654336403474985e-05,-0.00047187500000000007,0,0.00036249999979338574,9.592208159888511e-05,offline_fluid
711768,5.5454892261692396e-05,0.00011250001492280146,7.46248384784954e-08,-0.00011250001492280146,0,1.2245434298948877e-06,2.4935708435621414e-06,711768,0.000284375,0.000284375,7.730459733610143e-06,-0.00018749999999737783,0,0.00011249999999996857,3.3474814195390286e-05,current_mu_vs_midpoint_boundary,711768,0.00018749999999075783,0.000284375,-7.655834895131647e-06,-0.000284375,0,0.00011249999999999464,3.371189851267691e-05,tclb_fluid
